104,29,101,100
108,28,141,100
112,44,141,100
112,92,122,100
113,100,122,100
113,58,122,100
114,100,122,100
114,77,122,100
113,79,112,100
113,100,110,100
111,77,104,100
109,100,106,100
109,100,112,100
108,100,107,100
108,100,110,100
108,91,112,100
107,63,106,100
108,100,114,100
108,100,114,100
108,86,113,100
110,100,132,100
114,100,127,100
115,81,127,100
117,70,140,100
117,100,123,100
120,85,144,100
121,83,133,100
121,100,124,100
123,70,145,100
124,22,137,100
126,53,144,100
128,100,142,100
130,100,152,100
129,100,126,100
128,100,126,100
128,78,130,100
127,70,126,100
126,59,122,100
129,100,155,100
132,73,155,100
134,100,155,100
137,53,155,100
138,100,155,100
140,50,155,100
141,23,155,100
143,49,155,100
144,81,155,100
140,82,120,100
138,71,124,100
135,66,121,100
133,73,121,100
134,80,142,100
132,54,122,100
132,67,137,100
130,63,123,100
131,35,148,100
133,100,146,0
130,83,121,0
130,62,158,0
130,39,158,0
130,80,128,0
130,33,128,0
130,83,125,0
131,66,131,0
132,100,146,0
132,73,146,0
136,38,156,0
138,66,156,0
140,88,158,0
142,100,158,0
141,80,144,0
141,68,144,0
141,49,147,0
142,100,147,0
142,53,147,0
143,62,157,0
141,100,134,0
142,47,153,0
142,100,145,0
140,61,126,0
137,93,119,0
136,36,139,0
136,100,140,0
135,74,135,0
137,82,153,0
139,100,153,0
139,100,153,0
138,97,133,0
140,100,157,0
140,75,122,0
140,96,122,0
140,100,123,0
140,100,153,0
140,100,116,0
134,83,159,100
135,100,142,100
135,68,142,0
135,80,120,0
135,90,120,0
131,100,140,100
132,33,140,100
132,28,137,100
132,68,137,100
130,96,122,100
126,55,108,100
127,100,137,100
128,69,137,100
128,61,137,100
129,73,137,0
129,44,135,0
130,53,142,0
131,65,140,100
130,87,133,100
129,84,125,100
128,65,125,100
130,68,150,100
130,59,134,100
129,41,123,100
127,48,123,100
130,43,156,100
134,78,157,100
136,51,154,100
138,43,154,100
139,61,154,100
136,45,120,100
137,58,145,100
139,70,156,100
140,53,156,100
141,25,154,100
142,31,154,100
144,21,159,100
145,22,158,100
146,0,158,100
144,24,136,100
143,20,140,100
142,26,140,100
143,28,155,100
144,38,155,100
144,25,146,100
145,51,157,100
139,22,100,100
133,31,100,100
134,45,141,100
134,49,141,100
134,21,141,100
136,48,148,100
135,67,134,100
133,22,120,100
130,33,120,100
133,36,153,100
136,48,158,100
137,71,154,100
136,95,127,100
133,57,123,100
132,81,123,100
130,77,123,100
132,65,154,100
132,72,137,100
128,66,106,100
125,67,105,100
126,45,138,100
130,75,158,100
131,85,147,100
132,100,141,100
132,100,140,100
132,100,136,100
132,100,135,100
130,76,124,100
128,40,118,100
129,39,136,100
128,71,125,100
130,89,157,100
133,72,156,100
136,22,156,100
131,19,101,100
126,36,101,100
130,44,157,100
128,27,124,100
131,23,154,100
133,58,155,100
136,65,155,100
137,0,155,100
139,34,153,100
140,37,154,100
139,45,135,100
136,55,120,100
138,77,157,100
134,57,115,100
132,64,115,100
129,59,115,100
127,41,121,100
126,69,124,100
128,73,141,100
129,72,148,100
129,90,136,100
128,100,127,100
127,100,122,100
126,99,120,100
129,62,156,100
129,68,135,100
130,75,140,100
128,72,123,100
127,100,123,100
125,74,119,100
125,92,125,100
126,97,137,100
126,73,136,100
128,35,146,100
126,40,117,100
128,46,138,100
130,57,151,100
132,88,154,100
134,85,156,100
132,73,119,100
130,53,124,100
129,66,124,100
128,35,124,100
126,32,120,100
127,48,140,100
126,30,129,100
126,45,129,100
126,40,129,100
125,35,122,100
124,70,122,100
123,71,121,100
122,54,123,100
122,40,123,100
122,37,123,100
122,0,123,100
121,0,123,100
121,38,123,100
121,36,123,100
121,0,123,100
121,26,123,100
121,27,123,100
125,35,123,100
129,19,158,100
132,42,159,100
134,43,159,100
137,41,159,100
134,35,119,100
132,72,121,100
130,60,122,100
133,45,159,100
131,33,120,100
129,22,120,100
129,30,122,100
126,43,122,100
125,39,123,100
124,37,121,100
124,24,121,100
123,0,121,100
123,55,126,100
122,39,123,100
126,35,157,100
129,33,152,100
132,40,156,100
134,63,156,100
133,51,124,100
135,63,154,100
136,78,152,100
137,100,150,100
135,100,124,100
138,90,159,100
140,87,159,100
142,100,159,100
143,100,159,100
145,100,159,100
146,100,159,100
143,100,130,100
141,100,130,100
138,100,124,100
137,69,136,100
133,100,106,100
131,100,122,100
129,100,115,100
126,100,114,100
125,100,118,100
124,95,117,100
120,100,98,100
115,100,83,100
112,100,100,100
110,100,97,100
113,100,139,100
108,100,80,100
105,100,85,100
101,100,82,100
108,100,156,100
112,100,144,100
108,100,84,100
110,100,133,100
112,100,133,100
112,100,114,100
111,100,110,100
106,100,80,100
105,100,96,100
103,88,96,100
102,100,96,100
100,100,96,100
103,100,123,100
103,100,123,0
107,100,123,0
108,94,123,0
112,49,144,0
112,88,144,0
118,100,138,0
120,88,138,0
122,100,141,0
121,84,124,0
123,100,141,0
125,95,140,0
126,100,139,0
128,100,149,0
128,77,149,0
128,65,120,0
129,100,140,0
129,90,133,0
129,84,133,100
128,100,121,100
124,100,105,100
121,100,104,100
119,100,113,100
117,100,105,100
117,100,126,100
117,100,117,100
114,57,102,100
112,100,102,100
112,100,110,100
109,100,98,100
108,100,99,100
106,84,101,100
104,34,97,100
108,86,141,100
110,76,128,100
108,100,100,100
107,100,102,100
108,100,116,100
109,82,124,100
114,100,150,100
114,100,122,100
117,100,140,100
117,100,123,100
117,100,120,100
116,89,117,100
112,84,90,100
115,100,142,100
116,100,125,100
116,100,117,100
116,97,117,100
115,100,117,100
115,98,121,100
112,100,97,100
111,100,106,100
109,100,99,100
107,100,104,100
106,100,105,100
104,100,95,100
103,100,98,100
102,100,102,100
101,100,97,100
100,100,92,100
97,100,82,100
96,100,95,100
96,100,98,100
96,100,105,100
94,100,86,100
92,100,83,100
91,100,83,100
89,100,83,100
93,100,120,100
96,100,120,100
96,100,103,100
96,100,105,100
97,100,105,100
99,100,118,100
101,100,117,100
100,100,99,100
101,100,112,100
103,100,121,100
105,100,126,100
106,100,112,100
107,100,120,100
108,100,122,100
109,100,119,100
110,100,118,100
110,83,115,100
110,40,117,100
111,24,117,100
114,43,142,100
117,61,141,100
120,56,146,100
124,28,158,100
128,20,157,100
130,70,157,100
133,28,157,100
133,16,138,100
134,39,138,100
136,29,160,100
139,25,160,100
141,44,160,100
143,33,160,100
144,25,160,100
145,30,159,100
146,29,159,100
147,32,159,100
148,18,158,100
143,17,114,100
139,0,114,100
135,25,114,100
132,0,114,100
129,35,114,100
133,20,160,100
136,30,160,100
133,0,160,100
131,19,160,100
129,0,160,100
128,25,160,100
124,37,117,100
122,0,117,100
122,23,115,100
121,0,115,100
120,34,121,100
120,0,121,100
119,0,121,100
118,0,121,100
118,0,121,100
118,0,121,100
118,0,121,100
117,0,121,100
117,0,121,100
117,0,121,100
117,0,121,100
116,0,121,100
116,0,121,100
116,0,121,100
115,0,121,100
115,0,121,100
115,0,121,100
114,0,121,100
114,0,121,100
114,18,121,100
114,0,121,100
114,17,121,100
114,0,121,100
114,23,121,100
114,36,121,100
113,52,121,100
113,0,121,100
113,0,121,100
113,32,121,100
112,0,121,100
112,36,121,100
112,19,121,100
112,32,121,100
112,45,121,100
112,31,121,100
112,30,158,100
